Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
61,,590,,0.9146223011626405,,0.9377376067251434,,,0.9789460614273131,0.978852532521929,0.9786002017098949,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,29
62,,657,,0.9133251182722406,,0.9367515539082111,,,0.9786054984732557,0.9783000579792273,0.978463638977706,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,31
63,,590,,0.911920062117134,,0.9357612612072213,,,0.9782650539967431,0.9781699722898237,0.9778994361158737,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,30
64,,657,,0.910646293388869,,0.9347772865633849,,,0.9779247279565583,0.9776178829912109,0.9777629711748604,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,32
65,,590,,0.9092258067998291,,0.9337890809713332,,,0.9775845203114986,0.9774878880114038,0.977199172332926,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,31
66,,657,,0.9079753256229822,,0.9328071801207024,,,0.9772444310203762,0.976936183688247,0.9770628051130611,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,33
67,,590,,0.9065395116229099,,0.9318210572388663,,,0.9769044600420171,0.9768062793547841,0.9764994100017101,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,32
68,,657,,0.9053121919292906,,0.9308412258107811,,,0.9765646073352618,0.9762549597386372,0.9763631404330164,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,34
69,,590,,0.9038611530682512,,0.9298571812497074,,,0.976224872858965,0.9761251459883103,0.9758001487631417,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,33
70,,657,,0.9026568693300975,,0.9288794148827195,,,0.9758852565719959,0.9755742108109144,0.9756639767756923,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,35
71,,590,,0.901190707687211,,0.927897444262206,,,0.9755457584332378,0.9754444875805592,0.9751013882583931,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,34
72,,657,,0.9000093349150997,,0.926921738604059,,,0.9752063784015886,0.9748939365738427,0.9749653137823107,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,36
73,,590,,0.8985281521004242,,0.9259418375531357,,,0.9748671164359602,0.9747643038003391,0.9744031281288938,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,35
74,,657,,0.8973695658411928,,0.9249681882607467,,,0.9745279724952792,0.9742141366964172,0.9742671510943519,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,37
75,,590,,0.8958734629976044,,0.9239903524176558,,,0.9741889465384859,0.9740845943166889,0.9737053680163308,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,36
